State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier,Depreciation (INR),Depreciation %,Bike Age (Years)
Delhi,32.83,KTM,390 Adventure,217858,2015,919,Petrol,35.23,Second,2015,Active,Individual,122613.65,Tier 3,95244.35,43.71854602539269,0
Punjab,22.23,TVS,Apache RTR 160,55550,2021,432,Electric,97.32,First,2021,Active,Dealer,22507.4,Tier 3,33042.6,59.482628262826275,0
Tamil Nadu,54.9,Kawasaki,Z650,68139,2021,939,Petrol,31.89,Third,2021,Expired,Individual,53007.55,Tier 1,15131.449999999997,22.20673916552928,0
Delhi,77.52,Yamaha,MT-15,177067,2019,842,Hybrid,70.39,First,2019,Not Available,Dealer,138797.55,Tier 3,38269.45000000001,21.612977008702927,0
West Bengal,7.69,Kawasaki,Vulcan S,250026,2020,427,Electric,84.49,Third,2022,Expired,Dealer,164760.99,Tier 1,85265.01000000001,34.10245734443618,2
Rajasthan,68.21,Hero,HF Deluxe,324698,2022,617,Petrol,54.15,Second,2022,Expired,Individual,135871.8,Tier 1,188826.2,58.15440809613857,0
Uttar Pradesh,12.29,Hero,Xtreme 160R,128862,2017,615,Hybrid,78.41,Second,2024,Active,Dealer,57485.4,Tier 1,71376.6,55.38995204171905,7
Delhi,39.07,KTM,125 Duke,165289,2019,420,Petrol,52.93,Second,2024,Active,Individual,72484.67,Metro,92804.33,56.14670667739535,5
Karnataka,28.5,Honda,Unicorn,130984,2023,486,Hybrid,74.64,First,2023,Not Available,Dealer,53472.37,Metro,77511.63,59.1764108593416,0
Uttar Pradesh,26.29,Honda,Dio,242654,2022,364,Petrol,50.96,Second,2023,Active,Dealer,157505.48,Tier 1,85148.51999999999,35.090507471543845,1
Maharashtra,16.87,Kawasaki,Z650,218792,2020,926,Petrol,44.63,Second,2021,Expired,Dealer,171319.78,Tier 3,47472.22,21.697420381001134,1
Madhya Pradesh,14.62,Hero,Passion Pro,129212,2017,290,Petrol,52.5,Second,2022,Active,Dealer,67714.69,Tier 3,61497.31,47.5941166455128,5
Tamil Nadu,66.86,Honda,Shine,150882,2015,309,Hybrid,67.51,First,2015,Not Available,Dealer,103515.32,Tier 1,47366.67999999999,31.393194681936876,0
Tamil Nadu,65.98,Kawasaki,Z650,152189,2015,294,Hybrid,91.08,Second,2022,Not Available,Individual,92773.8,Tier 2,59415.2,39.040403708546606,7
Tamil Nadu,48.7,Honda,CBR 650R,108898,2020,867,Hybrid,76.18,Second,2021,Expired,Dealer,66972.25,Tier 1,41925.75,38.500018365810206,1
Karnataka,5.08,Royal Enfield,Classic 350,379075,2015,616,Electric,75.31,Third,2015,Not Available,Individual,291207.6,Tier 3,87867.40000000002,23.179423596913544,0
Rajasthan,15.49,Yamaha,Ray ZR,322296,2019,903,Electric,78.43,Third,2023,Active,Individual,208215.84,Tier 1,114080.16,35.39608310373074,4
West Bengal,71.23,Yamaha,FZ V3,114889,2023,143,Petrol,31.99,Third,2023,Active,Dealer,87753.67,Tier 3,27135.33,23.61873634551611,0
Gujarat,48.7,Kawasaki,Vulcan S,338828,2021,852,Electric,93.65,First,2021,Active,Individual,268727.16,Metro,70100.84000000003,20.68921104513205,0
Maharashtra,68.73,Bajaj,CT 100,363243,2023,618,Electric,83.14,First,2023,Expired,Individual,219850.33,Metro,143392.67,39.47568707449284,0
Rajasthan,45.71,Royal Enfield,Himalayan,103013,2016,593,Electric,81.96,Second,2021,Expired,Individual,76719.57,Metro,26293.429999999993,25.52438041800549,5
Uttar Pradesh,32.55,KTM,RC 390,66153,2015,578,Electric,93.28,Second,2020,Active,Dealer,42081.48,Tier 3,24071.519999999997,36.387646818738375,5
Karnataka,35.16,Royal Enfield,Interceptor 650,215700,2021,609,Petrol,46.99,First,2021,Not Available,Individual,108204.89,Tier 3,107495.11,49.8354705609643,0
Gujarat,5.82,Kawasaki,Z650,239446,2019,785,Petrol,40.84,Second,2020,Not Available,Dealer,147163.03,Tier 3,92282.97,38.54020113094393,1
Delhi,65.12,Yamaha,R15 V4,253665,2016,386,Hybrid,87.63,Second,2023,Not Available,Dealer,103625.0,Metro,150040.0,59.148877456487895,7
Punjab,56.22,Bajaj,CT 100,358375,2020,345,Petrol,29.21,First,2020,Active,Individual,193740.49,Tier 1,164634.51,45.93917265434252,0
Uttar Pradesh,59.93,TVS,Apache RTR 160,176431,2019,649,Hybrid,92.18,Second,2019,Not Available,Dealer,103942.6,Metro,72488.4,41.08597695416338,0
Maharashtra,60.6,Kawasaki,Ninja 400,343338,2015,212,Petrol,52.03,Second,2022,Active,Dealer,204239.69,Metro,139098.31,40.51352020457975,7
Madhya Pradesh,27.36,Hero,Splendor Plus,190065,2023,118,Petrol,48.83,First,2023,Not Available,Individual,150847.14,Tier 2,39217.859999999986,20.633919974745474,0
Tamil Nadu,71.11,KTM,125 Duke,397190,2024,381,Hybrid,96.14,First,2024,Active,Individual,183401.57,Tier 3,213788.43,53.82522973891588,0
Gujarat,60.03,Kawasaki,Versys 650,306097,2022,838,Petrol,50.84,First,2022,Expired,Dealer,234504.5,Tier 3,71592.5,23.388827724544832,0
Punjab,31.99,Kawasaki,Ninja 400,248655,2016,467,Electric,67.27,First,2016,Not Available,Dealer,152318.67,Tier 1,96336.32999999999,38.74296917415696,0
Uttar Pradesh,38.53,Honda,Unicorn,77974,2018,938,Petrol,50.93,Third,2019,Not Available,Dealer,47080.44,Metro,30893.559999999998,39.62033498345602,1
Punjab,42.86,KTM,250 Duke,263864,2019,274,Petrol,54.94,Third,2022,Not Available,Dealer,199105.32,Tier 3,64758.67999999999,24.5424461086014,3
Uttar Pradesh,53.33,TVS,Jupiter,379902,2024,823,Petrol,46.86,First,2024,Active,Dealer,301388.75,Tier 1,78513.25,20.666711415049143,0
Punjab,53.61,Yamaha,Fascino 125,344133,2018,285,Petrol,57.15,First,2018,Not Available,Individual,272218.08,Tier 2,71914.91999999998,20.897420474060898,0
Uttar Pradesh,11.22,Honda,Activa,110907,2021,655,Electric,91.05,Third,2022,Active,Individual,62284.05,Tier 1,48622.95,43.84119126835998,1
Gujarat,63.01,TVS,Ronin,354894,2019,246,Hybrid,75.54,First,2019,Expired,Individual,161026.33,Tier 2,193867.67,54.62692240499981,0
Karnataka,47.14,Hero,HF Deluxe,87021,2016,276,Petrol,59.85,Third,2018,Not Available,Individual,45428.38,Tier 3,41592.62,47.79607221245447,2
Maharashtra,42.56,Kawasaki,Vulcan S,292746,2016,202,Electric,78.92,First,2016,Expired,Individual,129098.05,Metro,163647.95,55.90100291720468,0
Maharashtra,70.31,Kawasaki,Ninja 300,85748,2023,480,Petrol,50.75,First,2023,Expired,Individual,43584.97,Tier 3,42163.03,49.170861127956336,0
Maharashtra,14.35,Kawasaki,Ninja 400,171249,2023,472,Hybrid,96.46,Second,2024,Expired,Individual,80908.01,Tier 2,90340.99,52.754170827274905,1
Punjab,14.21,Kawasaki,Versys 650,389131,2016,139,Electric,84.28,Third,2019,Active,Individual,171603.45,Tier 1,217527.55,55.90085344010115,3
Gujarat,26.7,Hero,Splendor Plus,101247,2020,757,Petrol,58.03,Third,2023,Expired,Dealer,56573.85,Tier 3,44673.15,44.1229369759104,3
Delhi,59.9,Yamaha,MT-15,360084,2021,595,Petrol,57.86,Second,2023,Active,Dealer,227035.54,Tier 3,133048.46,36.9492840559425,2
Uttar Pradesh,71.77,Kawasaki,Vulcan S,258339,2022,767,Electric,78.68,Third,2023,Active,Dealer,139198.28,Metro,119140.72,46.11797676696124,1
Punjab,60.62,Yamaha,FZ V3,159551,2020,752,Petrol,41.24,First,2020,Expired,Dealer,100210.7,Tier 1,59340.3,37.19205771195418,0
Gujarat,54.63,Hero,Glamour,180612,2021,540,Petrol,43.06,Third,2024,Active,Dealer,81272.32,Metro,99339.68,55.00170531304674,3
Madhya Pradesh,75.43,KTM,Duke 200,380489,2023,304,Petrol,40.24,First,2023,Expired,Dealer,225095.67,Tier 2,155393.33,40.84042639866067,0
Karnataka,56.07,Royal Enfield,Hunter 350,165867,2024,802,Electric,65.24,Third,2024,Not Available,Dealer,88111.94,Tier 1,77755.06,46.87795643497501,0
Maharashtra,76.66,Honda,Unicorn,51296,2024,250,Petrol,40.44,First,2024,Active,Individual,26818.54,Tier 2,24477.46,47.71806768558952,0
Karnataka,55.81,Bajaj,Pulsar 150,387159,2022,762,Hybrid,99.46,First,2022,Not Available,Dealer,235635.58,Tier 2,151523.42,39.13725885230616,0
Gujarat,60.14,Bajaj,Pulsar 150,201075,2019,491,Petrol,32.17,Third,2022,Not Available,Dealer,149756.83,Tier 2,51318.17000000001,25.521904761904768,3
West Bengal,8.91,Royal Enfield,Classic 350,195446,2023,612,Petrol,26.47,First,2023,Active,Dealer,107643.08,Metro,87802.92,44.92438832209408,0
Delhi,41.6,KTM,250 Duke,310707,2023,115,Hybrid,82.75,Third,2023,Active,Dealer,206700.97,Metro,104006.03,33.47398996482217,0
Karnataka,73.12,Yamaha,Ray ZR,222978,2020,840,Electric,92.29,First,2020,Not Available,Dealer,100700.37,Tier 1,122277.63,54.838428006350405,0
Madhya Pradesh,78.74,KTM,125 Duke,246256,2022,338,Petrol,31.86,First,2022,Not Available,Dealer,157787.57,Tier 3,88468.43,35.92539065038009,0
West Bengal,10.54,KTM,250 Duke,247008,2022,400,Electric,77.97,Second,2023,Not Available,Individual,128583.13,Tier 2,118424.87,47.94373866433476,1
Delhi,62.15,Honda,Unicorn,229915,2015,501,Hybrid,61.51,Second,2019,Not Available,Individual,108372.77,Metro,121542.23,52.863984516016785,4
Punjab,29.92,Bajaj,Avenger 220,216719,2015,761,Electric,79.47,Third,2024,Not Available,Dealer,108426.82,Tier 3,108292.18,49.96893673374277,9
Punjab,24.08,Royal Enfield,Interceptor 650,100191,2015,583,Petrol,58.45,First,2015,Active,Individual,63471.67,Tier 2,36719.33,36.64932978011997,0
Tamil Nadu,45.48,Honda,CBR 650R,350747,2015,806,Hybrid,66.85,First,2015,Active,Dealer,248249.89,Metro,102497.10999999999,29.22251936581068,0
Delhi,23.42,Hero,Splendor Plus,336796,2019,163,Hybrid,84.64,Third,2020,Expired,Dealer,257457.96,Metro,79338.04000000001,23.556704948989896,1
Gujarat,26.84,TVS,Apache RTR 160,57689,2017,158,Hybrid,83.5,Third,2019,Expired,Individual,26172.93,Tier 3,31516.07,54.63098684324568,2
Madhya Pradesh,67.98,Yamaha,MT-15,100389,2017,199,Electric,76.33,Third,2020,Expired,Dealer,76726.83,Tier 2,23662.17,23.570480829572958,3
Uttar Pradesh,21.52,TVS,Ronin,325999,2020,232,Hybrid,72.24,First,2020,Not Available,Individual,135485.57,Metro,190513.43,58.43988171742858,0
Delhi,68.26,Royal Enfield,Hunter 350,264839,2021,959,Petrol,38.76,Third,2022,Active,Dealer,131458.48,Tier 1,133380.52,50.362869516951804,1
Uttar Pradesh,73.19,Bajaj,Platina 110,184397,2016,694,Hybrid,98.43,First,2016,Not Available,Dealer,76944.62,Tier 3,107452.38,58.272303779345656,0
Gujarat,7.11,Bajaj,Avenger 220,229165,2020,701,Petrol,36.7,First,2020,Active,Dealer,101930.84,Tier 3,127234.16,55.52076451465102,0
Maharashtra,41.66,KTM,RC 390,345460,2023,738,Hybrid,82.61,Second,2023,Active,Individual,152745.79,Tier 1,192714.21,55.784811555607014,0
Punjab,43.02,Yamaha,MT-15,340593,2017,144,Electric,80.42,Third,2019,Not Available,Individual,206873.06,Tier 2,133719.94,39.260918456926596,2
Karnataka,46.75,Honda,CBR 650R,219862,2020,268,Petrol,55.44,Second,2022,Active,Dealer,117906.48,Tier 3,101955.52,46.372506390372145,2
Madhya Pradesh,17.28,Yamaha,MT-15,121927,2021,595,Hybrid,80.7,Third,2024,Active,Individual,81282.87,Tier 1,40644.130000000005,33.334806892648885,3
Karnataka,31.86,Hero,HF Deluxe,127629,2024,279,Hybrid,77.73,First,2024,Active,Individual,80074.07,Tier 3,47554.92999999999,37.26028567175172,0
Maharashtra,66.36,Kawasaki,Vulcan S,265748,2020,864,Electric,75.72,Second,2021,Active,Individual,198752.51,Tier 1,66995.48999999999,25.210157743426098,1
Punjab,38.0,Bajaj,Platina 110,348867,2022,953,Electric,80.92,Second,2022,Not Available,Dealer,232935.81,Tier 2,115931.19,33.2307698922512,0
Tamil Nadu,15.23,Hero,Xtreme 160R,75474,2020,115,Hybrid,75.93,First,2020,Active,Individual,50148.49,Tier 3,25325.510000000002,33.55527731404192,0
Gujarat,57.76,Kawasaki,Z650,178475,2024,847,Electric,83.54,Second,2024,Active,Dealer,86175.85,Tier 2,92299.15,51.715450343185324,0
Uttar Pradesh,20.78,Yamaha,Fascino 125,193613,2018,611,Hybrid,65.51,Third,2021,Expired,Individual,145173.64,Tier 2,48439.359999999986,25.018650607138976,3
Tamil Nadu,54.37,Kawasaki,Ninja 400,318945,2015,478,Hybrid,97.99,First,2015,Active,Dealer,237834.05,Metro,81110.95000000001,25.43101475175971,0
Punjab,59.44,Honda,CBR 650R,94390,2019,237,Petrol,25.67,Third,2022,Expired,Dealer,39280.38,Tier 3,55109.62,58.38501959953385,3
Gujarat,61.92,Kawasaki,Z650,201429,2020,190,Electric,62.83,First,2020,Expired,Individual,96576.11,Tier 2,104852.89,52.05451548684648,0
Rajasthan,54.49,Bajaj,Dominar 400,331783,2022,742,Hybrid,83.72,Third,2023,Not Available,Individual,209290.49,Tier 3,122492.51000000001,36.91946543373229,1
Delhi,77.46,Honda,Unicorn,323946,2017,500,Electric,67.0,Third,2017,Active,Individual,203731.26,Tier 3,120214.73999999999,37.10949973143672,0
Maharashtra,69.85,Honda,CBR 650R,259633,2023,766,Electric,79.13,First,2023,Expired,Dealer,115422.29,Metro,144210.71000000002,55.54406026968838,0
Delhi,59.49,Honda,CBR 650R,231018,2015,150,Petrol,45.82,First,2015,Not Available,Individual,174599.15,Tier 2,56418.850000000006,24.421841588101362,0
Rajasthan,36.17,Royal Enfield,Interceptor 650,82960,2019,433,Petrol,47.21,Second,2023,Active,Dealer,46476.38,Tier 3,36483.62,43.977362584378014,4
Karnataka,19.37,Kawasaki,Ninja 400,216865,2022,166,Petrol,40.2,Second,2022,Active,Individual,112099.57,Tier 3,104765.43,48.30905401978189,0
Punjab,8.0,Honda,Unicorn,77150,2023,385,Hybrid,64.96,First,2023,Not Available,Individual,61659.08,Tier 2,15490.919999999998,20.07896305897602,0
Punjab,74.74,Royal Enfield,Hunter 350,224531,2020,552,Electric,75.55,Second,2020,Active,Individual,150929.47,Tier 1,73601.53,32.78011944898477,0
Maharashtra,42.82,Hero,Glamour,108551,2021,169,Petrol,26.58,Second,2023,Active,Individual,77724.37,Tier 3,30826.630000000005,28.398292047056227,2
Tamil Nadu,31.7,Yamaha,R15 V4,378815,2021,834,Petrol,38.73,Third,2021,Active,Dealer,252119.09,Metro,126695.91,33.445325554690285,0
West Bengal,72.24,Honda,Activa,133822,2022,606,Hybrid,82.31,First,2022,Not Available,Dealer,73737.56,Metro,60084.44,44.898775986011266,0
Rajasthan,11.31,Kawasaki,Vulcan S,52226,2022,976,Hybrid,62.56,Second,2022,Expired,Individual,39913.59,Metro,12312.410000000003,23.575249875540923,0
West Bengal,62.46,KTM,Duke 200,238002,2016,955,Electric,88.01,Second,2018,Active,Dealer,167366.61,Metro,70635.39000000001,29.678485895076516,2
Gujarat,41.78,Royal Enfield,Hunter 350,143804,2016,865,Hybrid,71.3,Second,2017,Expired,Individual,84150.02,Metro,59653.979999999996,41.482837751383826,1
Rajasthan,7.12,Bajaj,Platina 110,246749,2019,951,Petrol,36.16,Second,2024,Expired,Dealer,128048.12,Metro,118700.88,48.10592140191044,5
Rajasthan,19.4,Hero,Splendor Plus,263828,2022,397,Hybrid,78.94,Second,2022,Not Available,Dealer,180753.16,Tier 2,83074.84,31.4882575010992,0
Madhya Pradesh,69.94,Honda,Dio,300569,2016,965,Petrol,53.2,Second,2020,Expired,Dealer,222480.56,Metro,78088.44,25.98020421267662,4
Tamil Nadu,32.1,Bajaj,Dominar 400,68008,2023,214,Hybrid,65.4,First,2023,Active,Dealer,28509.55,Tier 1,39498.45,58.079123044347725,0
Uttar Pradesh,42.36,Hero,HF Deluxe,147480,2019,685,Petrol,25.08,Third,2022,Expired,Individual,65401.07,Tier 2,82078.93,55.65427854624355,3
Madhya Pradesh,17.6,Honda,Unicorn,205380,2021,851,Hybrid,88.23,Second,2023,Not Available,Individual,114388.65,Tier 3,90991.35,44.303900087642425,2
Maharashtra,70.82,Royal Enfield,Interceptor 650,202139,2022,330,Petrol,31.33,Third,2024,Expired,Dealer,84327.76,Tier 1,117811.24,58.28229089883694,2
Maharashtra,9.2,TVS,Apache RTR 160,389881,2021,540,Electric,88.42,Second,2021,Active,Individual,287531.03,Tier 3,102349.96999999997,26.251592152477286,0
Maharashtra,62.11,Bajaj,Pulsar 150,102023,2022,519,Electric,70.04,Second,2022,Expired,Dealer,79922.78,Tier 2,22100.22,21.66199778481323,0
Rajasthan,21.66,Honda,Unicorn,324838,2019,704,Hybrid,71.16,Second,2023,Active,Individual,174196.92,Tier 3,150641.08,46.37421730216292,4
Maharashtra,50.64,KTM,390 Adventure,334654,2019,710,Petrol,50.14,Third,2021,Active,Dealer,213107.84,Tier 3,121546.16,36.31994836457954,2
West Bengal,29.67,KTM,250 Duke,329905,2016,412,Petrol,59.99,First,2016,Not Available,Individual,242293.69,Tier 3,87611.31,26.55652687895,0
Delhi,62.29,Royal Enfield,Classic 350,125525,2015,685,Electric,89.55,Third,2015,Active,Dealer,78009.87,Metro,47515.130000000005,37.85312089225255,0
Tamil Nadu,75.51,Yamaha,Fascino 125,377922,2022,915,Hybrid,91.46,Third,2023,Not Available,Individual,161962.88,Metro,215959.12,57.14383391281799,1
Madhya Pradesh,54.71,KTM,250 Duke,94023,2016,446,Hybrid,80.27,Third,2022,Expired,Dealer,47536.95,Tier 1,46486.05,49.44114737883284,6
Gujarat,65.14,KTM,RC 390,240166,2023,500,Electric,85.67,First,2023,Active,Dealer,171465.79,Tier 2,68700.20999999999,28.605302166001845,0
Karnataka,8.77,Hero,Xtreme 160R,329254,2023,921,Hybrid,97.74,Third,2024,Active,Individual,221860.24,Tier 2,107393.76000000001,32.61729849903114,1
Delhi,63.96,Yamaha,Fascino 125,327881,2016,954,Petrol,28.25,First,2016,Expired,Individual,192734.38,Metro,135146.62,41.21819196598766,0
Tamil Nadu,8.09,Royal Enfield,Classic 350,64465,2016,410,Petrol,26.26,First,2016,Active,Dealer,44971.02,Tier 3,19493.980000000003,30.239633909873582,0
Punjab,11.18,Yamaha,Ray ZR,224840,2019,332,Hybrid,95.3,Second,2020,Expired,Dealer,107483.17,Tier 3,117356.83,52.19570805906423,1
Gujarat,59.5,KTM,RC 390,261446,2018,178,Petrol,42.92,First,2018,Active,Individual,172040.52,Tier 1,89405.48000000001,34.19653771715766,0
Gujarat,56.08,TVS,Sport,143568,2022,581,Petrol,41.97,First,2022,Expired,Individual,101984.21,Tier 3,41583.78999999999,28.964525521007463,0
Madhya Pradesh,60.25,KTM,390 Adventure,171120,2019,647,Petrol,40.74,Second,2022,Not Available,Dealer,121401.82,Tier 3,49718.17999999999,29.054569892473115,3
Maharashtra,33.9,Bajaj,Platina 110,101183,2021,913,Petrol,43.15,Second,2021,Expired,Individual,72778.95,Tier 2,28404.050000000003,28.071958728244866,0
Maharashtra,13.84,Bajaj,Pulsar 150,169404,2016,586,Hybrid,71.33,First,2016,Active,Dealer,127913.54,Tier 3,41490.46000000001,24.49201907865222,0
West Bengal,5.47,Hero,Splendor Plus,294205,2022,614,Petrol,56.27,Second,2024,Not Available,Dealer,146404.14,Tier 1,147800.86,50.23737190054553,2
Madhya Pradesh,56.11,Kawasaki,Versys 650,259970,2016,327,Electric,71.95,First,2016,Expired,Individual,170725.73,Tier 2,89244.26999999999,34.3286802323345,0
Karnataka,28.97,Kawasaki,Ninja 400,179094,2020,794,Electric,74.44,Second,2021,Expired,Dealer,139009.54,Tier 1,40084.45999999999,22.381799501937525,1
Uttar Pradesh,24.85,Yamaha,R15 V4,384636,2022,462,Electric,89.88,Third,2022,Active,Individual,264244.7,Tier 3,120391.29999999999,31.30006031676702,0
Rajasthan,45.21,Hero,HF Deluxe,95565,2024,463,Petrol,50.67,Second,2024,Expired,Dealer,45065.13,Metro,50499.87,52.84347826086957,0
Gujarat,30.82,Hero,Xtreme 160R,234746,2021,161,Hybrid,85.71,First,2021,Not Available,Individual,100582.94,Tier 1,134163.06,57.15243710222965,0
Rajasthan,78.86,Royal Enfield,Meteor 350,225075,2020,467,Electric,81.31,Third,2021,Not Available,Dealer,93137.68,Tier 1,131937.32,58.619269132511384,1
Maharashtra,61.43,TVS,NTorq 125,78294,2024,713,Hybrid,76.03,Third,2024,Not Available,Dealer,37210.71,Tier 1,41083.29,52.47310138707947,0
Tamil Nadu,8.13,KTM,390 Adventure,230477,2020,174,Hybrid,80.97,Second,2023,Not Available,Dealer,104795.74,Tier 2,125681.26,54.53093367234041,3
Rajasthan,39.01,Hero,Xtreme 160R,383434,2021,856,Hybrid,61.19,First,2021,Active,Individual,279084.38,Tier 3,104349.62,27.214493237428083,0
West Bengal,22.27,Kawasaki,Ninja 400,329678,2023,277,Petrol,46.28,First,2023,Active,Individual,220311.73,Tier 2,109366.26999999999,33.17366339276506,0
Rajasthan,36.36,TVS,Sport,79721,2022,479,Petrol,52.24,Third,2024,Expired,Dealer,32843.99,Metro,46877.01,58.80133214585869,2
Tamil Nadu,73.7,KTM,390 Adventure,196662,2024,859,Petrol,41.19,First,2024,Active,Dealer,80270.78,Tier 3,116391.22,59.183380622591045,0
Rajasthan,40.87,Bajaj,Avenger 220,219810,2016,140,Electric,63.93,Third,2017,Expired,Dealer,88604.79,Tier 2,131205.21000000002,59.690282516718995,1
West Bengal,62.54,Bajaj,Dominar 400,180575,2022,275,Petrol,56.64,Second,2023,Expired,Individual,79788.94,Metro,100786.06,55.81396095805067,1
Gujarat,16.4,Hero,Passion Pro,325752,2016,269,Hybrid,67.92,First,2016,Expired,Individual,178045.19,Tier 3,147706.81,45.343331737026936,0
Madhya Pradesh,30.16,Kawasaki,Z650,270838,2023,845,Hybrid,99.43,Third,2024,Active,Individual,129139.63,Tier 1,141698.37,52.3184966659036,1
Uttar Pradesh,30.89,Hero,Glamour,361781,2018,952,Electric,95.16,First,2018,Not Available,Dealer,285745.05,Tier 3,76035.95000000001,21.017120854881824,0
Punjab,61.38,Bajaj,Pulsar 150,304083,2020,232,Hybrid,61.24,First,2020,Active,Individual,131167.62,Metro,172915.38,56.86453369639211,0
Punjab,36.07,Yamaha,FZ V3,247744,2021,183,Electric,94.71,Third,2021,Not Available,Dealer,101366.99,Tier 1,146377.01,59.083977815809874,0
Maharashtra,70.48,Yamaha,Ray ZR,359047,2015,291,Petrol,58.75,Third,2019,Not Available,Dealer,195383.21,Tier 3,163663.79,45.58283177411314,4
Karnataka,9.81,Hero,Passion Pro,315009,2024,850,Hybrid,61.1,First,2024,Not Available,Dealer,210652.97,Metro,104356.03,33.12795189978699,0
Maharashtra,6.73,Yamaha,MT-15,74131,2017,330,Petrol,46.9,Third,2017,Not Available,Dealer,41795.59,Tier 3,32335.410000000003,43.6192820817202,0
West Bengal,17.04,Honda,Shine,289337,2015,895,Petrol,52.41,First,2015,Expired,Dealer,217243.92,Tier 3,72093.07999999999,24.916647369676188,0
Gujarat,33.35,Kawasaki,Z650,57832,2024,865,Hybrid,91.79,Second,2024,Expired,Individual,35673.15,Tier 2,22158.85,38.315897772859316,0
Maharashtra,10.86,Yamaha,Fascino 125,398901,2017,381,Petrol,54.57,Third,2017,Expired,Individual,162081.91,Tier 2,236819.09,59.36788576614248,0
Punjab,27.38,Bajaj,Platina 110,375550,2016,333,Electric,74.84,First,2016,Active,Individual,196933.49,Tier 1,178616.51,47.56131274131275,0
Karnataka,24.65,TVS,Jupiter,138582,2017,593,Hybrid,68.11,Second,2021,Not Available,Individual,107535.69,Metro,31046.309999999998,22.402844525263017,4
Uttar Pradesh,54.46,TVS,Sport,363836,2021,270,Electric,64.27,Third,2024,Expired,Individual,195900.41,Metro,167935.59,46.15694708604976,3
Maharashtra,6.94,Kawasaki,Vulcan S,385899,2016,931,Hybrid,66.11,First,2016,Expired,Dealer,172056.06,Metro,213842.94,55.414224965599814,0
Uttar Pradesh,49.03,KTM,390 Adventure,199321,2016,518,Petrol,42.32,First,2016,Active,Individual,92066.68,Tier 3,107254.32,53.80984442181206,0
Gujarat,19.09,Royal Enfield,Classic 350,361992,2017,693,Electric,64.42,Second,2021,Expired,Dealer,262792.82,Metro,99199.18,27.403694004287388,4
Punjab,43.02,Royal Enfield,Classic 350,361918,2018,831,Petrol,25.99,Third,2023,Expired,Individual,227492.65,Tier 3,134425.35,37.1424880774098,5
Karnataka,26.87,Kawasaki,Ninja 400,225271,2024,560,Hybrid,77.97,Third,2024,Expired,Individual,116731.75,Metro,108539.25,48.18163456459109,0
West Bengal,51.15,Bajaj,Platina 110,227759,2024,384,Electric,89.78,Second,2024,Expired,Individual,103003.82,Tier 1,124755.18,54.77508243362501,0
West Bengal,24.58,Kawasaki,Z650,199100,2024,769,Hybrid,94.46,Third,2024,Not Available,Dealer,146514.89,Tier 1,52585.109999999986,26.411406328478144,0
Punjab,18.04,Bajaj,Platina 110,225435,2023,544,Petrol,41.1,First,2023,Active,Individual,134969.87,Tier 1,90465.13,40.12914143766496,0
Madhya Pradesh,73.97,Yamaha,Fascino 125,209111,2024,520,Hybrid,99.54,Second,2024,Active,Dealer,89354.12,Metro,119756.88,57.26952671069432,0
Madhya Pradesh,32.62,Kawasaki,Z650,374921,2017,961,Hybrid,94.67,First,2017,Active,Dealer,228991.25,Tier 3,145929.75,38.92279973647782,0
West Bengal,66.19,TVS,Apache RTR 160,176357,2015,512,Hybrid,75.9,Third,2016,Active,Individual,77499.96,Tier 3,98857.04,56.055070113463024,1
Uttar Pradesh,29.2,Royal Enfield,Interceptor 650,369689,2022,800,Hybrid,97.46,Third,2023,Active,Individual,207338.93,Metro,162350.07,43.91530989561496,1
Tamil Nadu,76.94,Honda,Activa,378664,2018,795,Petrol,59.6,Third,2019,Active,Individual,174056.64,Tier 1,204607.36,54.034014324044534,1
West Bengal,30.36,Kawasaki,Z650,234431,2022,719,Electric,76.04,Third,2023,Not Available,Dealer,136626.98,Metro,97804.01999999999,41.719746961792595,1
Delhi,11.51,Hero,Splendor Plus,296066,2017,145,Petrol,46.73,Third,2024,Not Available,Dealer,119733.74,Metro,176332.26,59.55842953935947,7
Maharashtra,41.59,Yamaha,R15 V4,319835,2019,287,Hybrid,81.54,Second,2024,Expired,Dealer,154714.4,Tier 2,165120.6,51.626807572654656,5
Rajasthan,6.79,Honda,Unicorn,210219,2016,354,Hybrid,89.34,Third,2017,Expired,Individual,93508.89,Metro,116710.11,55.518345154339045,1
Uttar Pradesh,41.9,Kawasaki,Ninja 400,149963,2015,818,Electric,96.07,Second,2020,Expired,Individual,107314.14,Metro,42648.86,28.439588431813178,5
Karnataka,21.19,Yamaha,MT-15,215007,2020,890,Petrol,44.26,First,2020,Expired,Dealer,91075.79,Tier 1,123931.21,57.640546586855315,0
Karnataka,56.47,Hero,Glamour,55490,2019,300,Hybrid,95.08,First,2019,Expired,Individual,28165.16,Tier 1,27324.84,49.242818525860514,0
Karnataka,30.64,TVS,Apache RTR 160,381413,2020,673,Petrol,56.88,Second,2020,Expired,Individual,193013.83,Tier 2,188399.17,49.39505732631033,0
Uttar Pradesh,42.65,Honda,CBR 650R,183242,2015,466,Petrol,34.01,Third,2019,Active,Individual,106599.57,Tier 1,76642.43,41.825798670610446,4
